id,answer,answer_value,question_id
1,"Sydney",1,1
2,"Canberra",2,1
3,"Melbourne",3,1
4,"Sad",1,2
5,"Joyful",2,2
6,"Angry",3,2
7,"William Shakespeare",1,3
8,"Jane Austen",2,3
9,"Charles Dickens",3,3
10,"Atlantic Ocean",1,4
11,"Indian Ocean",2,4
12,"Pacific Ocean",3,4
13,"5",1,5
14,"6",2,5
15,"7",3,5
16,"Portuguese",1,6
17,"Spanish",2,6
18,"English",3,6
19,"Vincent van Gogh",1,7
20,"Leonardo da Vinci",2,7
21,"Pablo Picasso",3,7
22,"Venus",1,8
23,"Mars",2,8
24,"Jupiter",3,8
25,"Yen",1,9
26,"Euro",2,9
27,"Dollar",3,9
28,"1910",1,10
29,"1912",2,10
30,"1914",3,10
31,"общаетесь со многими, включая и незнакомцев;",1,11
32,"общаетесь с немногими - Вашими знакомыми.",2,11
33,"реалистичный, чем склонный теоретизировать;",1,12
34,"склонный теоретизировать, чем реалистичный.",2,12
35,"витать в облаках",1,13
36,"придерживаться проторенной дорожки.",2,13
37,"принципов, законов;",1,14
38,"эмоций, чувств.",2,14
39,"убеждать;",1,15
40,"затрагивать чувства.",2,15
41,"выполняя все точно в срок;",1,16
42,"не связывая себя определенными сроками.",2,16
43,"довольно осторожно;",1,17
44,"внезапно, импульсивно.",2,17
45,"остаетесь допоздна, не чувствуя усталости;",1,18
46,"быстро утомляетесь и предпочитаете пораньше уйти.",2,18
47,"здравомыслящие люди;",1,19
48,"люди с богатым воображением.",2,19
49,"то, что происходит в действительности;",1,20
50,"те события, которые могут произойти.",2,20
51,"требования закона, чем обстоятельства;",1,21
52,"обстоятельства, чем требования закона.",2,21
53,"соблюдать формальности, этикет;",1,22
54,"проявлять свои личные, индивидуальные качества.",2,22
55,"точный, пунктуальный;",1,23
56,"неторопливый, медлительный.",2,23
57,"оставлять дела незаконченными;",1,24
58,"непременно доводить дела до конца.",2,24
59,"в курсе происходящих событий;",1,25
60,"узнаете о новостях с опозданием.",2,25 
61,"общепринятым способом;",1,26
62,"своим оригинальным способом.",2,26
63,"выражаются буквально, напрямую;",1,27
64,"пользуются аналогиями, иносказаниями.",2,27
65,"стройность мысли;",1,28
66,"гармония человеческих отношений.",2,28
67,"в логических умозаключениях;",1,29
68,"в практических оценках ситуаций.",2,29
69,"решены и устроены;",1,30
70,"не решены и пока не улажены.",2,30
71,"серьезный, определенный;",1,31
72,"беззаботный, беспечный.",2,31
73,"заранее не продумываете все, что нужно сказать;",1,32
74,"мысленно репетируете то, что будет сказано:",2,32
75,"важны сами по себе;",1,33
76,"есть проявления общих закономерностей.",2,33
77,"раздражают Вас;",1,34
78,"довольно симпатичны Вам.",2,34
79,"хладнокровный;",1,35
80,"вспыльчивый, горячий.",2,35
81,"несправедливым;",1,36
82,"беспощадным.",2,36
83,"тщательно взвесив все возможности;",1,37
84,"полагаясь на волю случая.",2,37
85,"покупать что-нибудь;",1,38
86,"иметь возможность купить.",2,38 
87,"первым заводите беседу;",1,39
88,"ждете, когда с Вами заговорят.",2,39 
89,"редко ошибается;",1,40
90,"часто попадает впросак.",2,40
91,"практичности;",1,41
92,"воображения.",2,41
93,"принятыми нормами;",1,42
94,"своими чувствами, ощущениями.",1,42 
95,"твердый, чем мягкий;",2,43
96,"мягкий, чем твердый.",1,43
97,"умение методично организовать;",1,44 
98,"умение приспособиться и довольствоваться достигнутым.",2,44
99,"определенность, законченность;",1,45
100,"открытость, многовариантность.",2,45
101,"стимулируют, придают Вам энергии;",1,46
102,"утомляют Вас.",2,46
103,"человек практического склада;",1,47
104,"человек оригинальный, необычный.",2,47 
105,"находить пользу в отношениях с людьми;",1,48
106,"понимать мысли и чувства других.",2,48
107,"тщательное и всесторонне обсуждение спорного вопроса;",1,49
108,"достижение соглашения по поводу спорного вопроса.",2,49
109,"рассудком;",1,50
110,"велениями сердца.",2,50
111,"по предварительной договоренности;",1,51
112,"которая подвернулась случайно.",2,51
113,"на организованность, порядок;",1,52
114,"на случайность, неожиданность.",2,52
115,"много друзей на непродолжительный срок;",1,53
116,"несколько старых друзей.",2,53
117,"фактами, обстоятельствами;",1,54
118,"общими положениями, принципами.",2,54
119,"производство и сбыт продукции;",1,55
120,"проектирование и исследования.",2,55
121,"Вот очень логичный человек;",1,56
122,"Вот тонко чувствующий человек;",2,56
